Benchmark,Perf Issue,Severity,Median Ratio,CI Lower,CI Upper,Perf Change Found
database.BenchmarkRawValues,basic-auth,0,0.997868227757221,0.9927555404887701,1.0047794223495827,False
service.BenchmarkRequestCreateBooking,basic-auth,0,0.9992438245672997,0.9768709730712044,1.0498298534516664,False
service.BenchmarkHandlerGetFlight,basic-auth,0,0.9968790637191159,0.9297759879184496,1.058489033306255,False
service.BenchmarkHandlerGetFlightsQuery,basic-auth,0,0.9961641109336439,0.9812476729307061,1.0111507989660626,False
database.BenchmarkValuesGenerics,basic-auth,0,0.9996923888955463,0.9914484835087953,1.0059163960903863,False
service.BenchmarkHandlerGetDestinations,basic-auth,0,1.0004375037755293,0.9874523208088903,1.0127618486403256,False
service.BenchmarkRequestSeats,basic-auth,0,1.0038576903060983,0.9699131709392224,1.0294255020350538,False
service.BenchmarkRequestFlight,basic-auth,0,1.0001173846695621,0.9831038074296956,1.0223880597014925,False
database.BenchmarkGet,basic-auth,0,0.9944444444444445,0.9548953409858203,1.037600337980566,False
database.BenchmarkRawGet,basic-auth,0,0.985441767068273,0.9712576680138236,1.0050994390617032,False
database.BenchmarkPut,basic-auth,0,1.0018761726078798,0.942513178515458,1.0559316817971995,False
service.BenchmarkRequestDestinations,basic-auth,0,0.998750949331527,0.9767297701141566,1.0202279865696984,False
service.BenchmarkHandlerGetBookings,basic-auth,0,0.9937198924254514,0.983555157787781,1.004030908590595,False
database.BenchmarkGetGenerics,basic-auth,0,1.0070546737213404,0.9646226415094339,1.0410940263981494,False
database.BenchmarkValues,basic-auth,0,1.0025143715781748,0.9967507841149832,1.009856486511219,False
service.BenchmarkHandlerGetFlightSeats,basic-auth,0,0.995190416846335,0.9719622865411908,1.0154172524748188,False
service.BenchmarkRequestFlightsQuery,basic-auth,0,1.0009324237577657,0.9857651145036935,1.014332796123065,False
service.BenchmarkHandlerCreateBooking,basic-auth,0,1.0035981495231023,0.9774026268973088,1.0240661820005013,False
service.BenchmarkRequestFlights,basic-auth,0,0.9903923492660434,0.9570063736234774,1.0160653778887647,False
service.BenchmarkHandlerGetFlights,basic-auth,0,0.9929093785219364,0.9764217268224279,1.0218615131175888,False
service.BenchmarkRequestBookings,basic-auth,0,0.9915132105684548,0.962420558165239,1.0256924675794135,False
service.BenchmarkRequestDestinations,basic-auth,1,0.997844451413217,0.9762504379603317,1.0200767306312168,False
database.BenchmarkRawGet,basic-auth,1,1.0040712468193385,0.9815920398009951,1.024579557678847,False
service.BenchmarkRequestFlightsQuery,basic-auth,1,0.9961448108708074,0.9792506269506923,1.0115993800063012,False
database.BenchmarkRawValues,basic-auth,1,0.9998875935159498,0.992698650239206,1.0084743296308452,False
database.BenchmarkValuesGenerics,basic-auth,1,0.9970962979343917,0.9894965906798604,1.010799307532696,False
service.BenchmarkRequestBookings,basic-auth,1,1.0141346973056913,0.9816827773232876,1.0642123458687052,False
database.BenchmarkGet,basic-auth,1,1.0052142051860202,0.9685421286031043,1.03558106169297,False
service.BenchmarkHandlerGetBookings,basic-auth,1,1.0006164041686965,0.9890495969529313,1.0101873042640328,False
service.BenchmarkHandlerCreateBooking,basic-auth,1,0.9971235903687901,0.9717783969219689,1.029545410222907,False
database.BenchmarkPut,basic-auth,1,0.9901678125231019,0.9387158110282288,1.0388582951989451,False
service.BenchmarkHandlerGetDestinations,basic-auth,1,0.9944859772363851,0.9814737149154673,1.020153518103035,False
service.BenchmarkRequestFlights,basic-auth,1,0.9912593805111765,0.9180269926647091,1.1113425986041545,False
database.BenchmarkValues,basic-auth,1,1.0016902248807131,0.9924409003005581,1.0152706076311655,False
service.BenchmarkHandlerGetFlightsQuery,basic-auth,1,0.9968679755131872,0.9833189837604418,1.0125445169701275,False
service.BenchmarkHandlerGetFlights,basic-auth,1,1.0072316462077375,0.9903636945801013,1.018788825621368,False
service.BenchmarkHandlerGetFlightSeats,basic-auth,1,0.9911501413860369,0.9705934265022437,1.0208084134932447,False
service.BenchmarkRequestSeats,basic-auth,1,1.001263913006348,0.9827243871539635,1.0225713569404453,False
service.BenchmarkHandlerGetFlight,basic-auth,1,1.0018621973929236,0.9567469567469568,1.0626865671641792,False
service.BenchmarkRequestCreateBooking,basic-auth,1,1.0267698403291625,0.9963736025000417,1.0631555456371347,False
service.BenchmarkRequestFlight,basic-auth,1,0.9934005279577633,0.979381443298969,1.018879958249221,False
database.BenchmarkGetGenerics,basic-auth,1,0.9971291866028708,0.9660697455230914,1.0329411764705883,False
service.BenchmarkRequestFlightsQuery,basic-auth,2,1.0041779712879881,0.9823436291535578,1.0170042306676643,False
service.BenchmarkRequestCreateBooking,basic-auth,2,1.0639666790829976,1.0248404290320459,1.0917151648663248,True
database.BenchmarkValuesGenerics,basic-auth,2,1.0014470528756725,0.9953509648977857,1.010772856580247,False
service.BenchmarkRequestFlight,basic-auth,2,1.0055654233274127,0.9894111764705883,1.0190749188877155,False
service.BenchmarkRequestFlights,basic-auth,2,0.999384572309572,0.9058592315652436,1.0477156210938208,False
database.BenchmarkRawValues,basic-auth,2,0.9999750649350649,0.9934059830117443,1.0065537132945364,False
service.BenchmarkHandlerGetFlightSeats,basic-auth,2,1.002252419706909,0.9837096418327572,1.0263081049355887,False
service.BenchmarkHandlerGetFlights,basic-auth,2,1.0076223455616997,0.9887676154804376,1.0322067871040677,False
service.BenchmarkHandlerGetDestinations,basic-auth,2,1.0018171045094566,0.98404263675907,1.0195346460956105,False
service.BenchmarkHandlerGetFlightsQuery,basic-auth,2,0.9991904456984573,0.9869391065630846,1.0126871861760662,False
service.BenchmarkRequestSeats,basic-auth,2,1.0062381664175386,0.9860760397408727,1.0252695003095964,False
service.BenchmarkRequestBookings,basic-auth,2,1.0242010788268892,0.98655250524188,1.06203179285231,False
database.BenchmarkGetGenerics,basic-auth,2,0.9965991021629711,0.9547599481631145,1.0451907131011609,False
database.BenchmarkRawGet,basic-auth,2,1.000503524672709,0.9840000000000001,1.0232558139534884,False
database.BenchmarkPut,basic-auth,2,1.0168322705027437,0.9622249301125367,1.0399491369665852,False
database.BenchmarkGet,basic-auth,2,1.0132003932032019,0.9614336331425457,1.0452097505668934,False
service.BenchmarkHandlerCreateBooking,basic-auth,2,0.9958062045193413,0.9720508758600561,1.0301072742933208,False
service.BenchmarkHandlerGetBookings,basic-auth,2,1.0046987351738577,0.992411324341988,1.0173767195242367,False
database.BenchmarkValues,basic-auth,2,0.9993560629020469,0.9948477255331791,1.0042864850612967,False
service.BenchmarkRequestDestinations,basic-auth,2,0.9997418552924244,0.9848264434405295,1.0221103619791019,False
service.BenchmarkHandlerGetFlight,basic-auth,2,1.013727560718057,0.947290323870653,1.0650095602294456,False
service.BenchmarkRequestDestinations,basic-auth,4,0.9941791227373138,0.9815268987546963,1.0112944701377036,False
service.BenchmarkHandlerGetFlights,basic-auth,4,0.9956732605631228,0.9745667864699695,1.0194614583941657,False
service.BenchmarkHandlerGetFlightSeats,basic-auth,4,0.9932507557477784,0.9812251775183537,1.022231767841131,False
database.BenchmarkPut,basic-auth,4,1.0050572661014427,0.9608041654613826,1.047127392944852,False
service.BenchmarkHandlerGetDestinations,basic-auth,4,1.0008127489224055,0.9823541881102845,1.015020211345669,False
service.BenchmarkRequestFlight,basic-auth,4,1.0084695216509605,0.9857380556215832,1.0283858551840268,False
service.BenchmarkHandlerCreateBooking,basic-auth,4,1.0034770647460025,0.9701385695318981,1.0362656116670543,False
service.BenchmarkRequestCreateBooking,basic-auth,4,1.1316789738952797,1.115394846217789,1.1577919428070453,True
database.BenchmarkRawGet,basic-auth,4,0.9984794728839332,0.9805873568939771,1.0255242770148834,False
database.BenchmarkValuesGenerics,basic-auth,4,0.9971180664997533,0.9855397729740709,1.0119204612020936,False
service.BenchmarkRequestSeats,basic-auth,4,0.9908123080437002,0.9694161923994861,1.0193137319964318,False
service.BenchmarkHandlerGetFlightsQuery,basic-auth,4,1.0005200587412189,0.9835201517542081,1.0140840091137988,False
service.BenchmarkRequestFlightsQuery,basic-auth,4,0.9967508187879245,0.9807108252513669,1.017305853270953,False
database.BenchmarkRawValues,basic-auth,4,0.9998047058953887,0.9933157244434727,1.006723741431313,False
service.BenchmarkRequestBookings,basic-auth,4,1.0326575121043162,0.9913862617491531,1.05982786463737,False
database.BenchmarkValues,basic-auth,4,0.9979595954252201,0.9872718949519887,1.0118088041889493,False
service.BenchmarkRequestFlights,basic-auth,4,1.0117804646946975,0.900627017564851,1.1161628327188058,False
database.BenchmarkGetGenerics,basic-auth,4,0.9913955364345255,0.9610802223987291,1.0302704157137093,False
service.BenchmarkHandlerGetFlight,basic-auth,4,1.018010752688172,0.948514344262295,1.059725585149314,False
database.BenchmarkGet,basic-auth,4,1.0061564292710228,0.9707073434125271,1.0274754242092834,False
service.BenchmarkHandlerGetBookings,basic-auth,4,1.0069059451830322,0.9923466481632991,1.0187986809423908,False
service.BenchmarkHandlerGetFlight,basic-auth,8,1.0186965811965811,0.950296162760752,1.065468204990609,False
service.BenchmarkHandlerGetBookings,basic-auth,8,1.0022718173188956,0.9927991013421688,1.014161182354932,False
database.BenchmarkRawGet,basic-auth,8,1.0061130922058075,0.9859578736208626,1.0257466529351185,False
database.BenchmarkGet,basic-auth,8,1.0032596371882088,0.9570126513399538,1.0494824897206863,False
service.BenchmarkRequestFlight,basic-auth,8,1.0016674606955693,0.988741407916568,1.0179409993979531,False
database.BenchmarkRawValues,basic-auth,8,0.9994388382419901,0.994796908923031,1.0052530634733545,False
service.BenchmarkHandlerGetFlights,basic-auth,8,1.000612995679149,0.9813290739133,1.0129628646260682,False
database.BenchmarkPut,basic-auth,8,1.0041621029572836,0.9719024808750983,1.0479317632850242,False
service.BenchmarkRequestCreateBooking,basic-auth,8,1.26911195600516,1.2240394384024782,1.3195731632197303,True
service.BenchmarkRequestSeats,basic-auth,8,0.9960672135148816,0.9609663844382066,1.0187666146250898,False
service.BenchmarkRequestDestinations,basic-auth,8,0.9972158670821447,0.9923560500958183,1.0129177719184168,False
database.BenchmarkValues,basic-auth,8,0.9978673366591644,0.9934949558334578,1.0035726736346933,False
service.BenchmarkHandlerGetFlightsQuery,basic-auth,8,0.9993711943449402,0.9914157376650149,1.0076658265053657,False
service.BenchmarkRequestFlights,basic-auth,8,1.008150696332464,0.9872472718018811,1.0391949290381346,False
service.BenchmarkHandlerGetDestinations,basic-auth,8,0.9988290174894082,0.9901506674357646,1.0081433244280151,False
service.BenchmarkRequestFlightsQuery,basic-auth,8,1.0042905172184904,0.992728738194536,1.0091364345602927,False
database.BenchmarkValuesGenerics,basic-auth,8,0.9971408346168201,0.9890887847242986,1.0039161409824515,False
service.BenchmarkHandlerCreateBooking,basic-auth,8,1.01436203826047,0.9796561819683207,1.0341391543725647,False
service.BenchmarkRequestBookings,basic-auth,8,1.021963843831489,0.9774517479562436,1.0603319772321775,False
service.BenchmarkHandlerGetFlightSeats,basic-auth,8,1.0029613250004277,0.972117508998053,1.0207332528668391,False
database.BenchmarkGetGenerics,basic-auth,8,1.0038319419734503,0.9628696459355522,1.0464477119692182,False
database.BenchmarkRawGet,basic-auth,16,1.0010030090270814,0.9775536731451531,1.0239064089521872,False
service.BenchmarkRequestBookings,basic-auth,16,1.0510424070125564,1.027902686554959,1.1078005401449105,True
service.BenchmarkRequestCreateBooking,basic-auth,16,1.4715008711524102,1.4324851955489035,1.5227953355306085,True
database.BenchmarkValues,basic-auth,16,1.003704504129183,0.9915860530523833,1.01011667826624,False
service.BenchmarkRequestFlights,basic-auth,16,0.9963616331538806,0.9753047822799209,1.030283483279579,False
database.BenchmarkValuesGenerics,basic-auth,16,1.0007072161124475,0.9920762409516108,1.0088146130001532,False
service.BenchmarkHandlerGetFlight,basic-auth,16,1.0089051859612364,0.9455332145584118,1.0555853920515577,False
service.BenchmarkHandlerGetFlightSeats,basic-auth,16,0.9920591178595077,0.9698349710950712,1.0192535229660775,False
service.BenchmarkHandlerCreateBooking,basic-auth,16,1.0151618141308862,0.978586367085562,1.0401811148388003,False
database.BenchmarkRawValues,basic-auth,16,1.0016095437780683,0.9940294612505579,1.0065566501780494,False
database.BenchmarkGetGenerics,basic-auth,16,0.9977193453179501,0.9634066078715282,1.0325047801147227,False
service.BenchmarkRequestSeats,basic-auth,16,0.9976567341154876,0.9807573286884336,1.0164170715442506,False
service.BenchmarkHandlerGetDestinations,basic-auth,16,1.0084132186353678,0.9890192348422926,1.0190444506339718,False
service.BenchmarkRequestFlightsQuery,basic-auth,16,1.0010911281022203,0.9833635962905819,1.0187055795774171,False
service.BenchmarkRequestFlight,basic-auth,16,1.0023512814483893,0.982584465343086,1.01983608504573,False
database.BenchmarkGet,basic-auth,16,1.0033618153803054,0.9637917005695688,1.0388335903546895,False
service.BenchmarkRequestDestinations,basic-auth,16,1.0024105330414035,0.9840853432869928,1.0252827579440196,False
service.BenchmarkHandlerGetBookings,basic-auth,16,0.9938010134149252,0.9850765326715031,1.0064618997994081,False
service.BenchmarkHandlerGetFlights,basic-auth,16,0.9971396925064318,0.9380076801521582,1.0605330081602813,False
database.BenchmarkPut,basic-auth,16,1.009141172134169,0.9700177812124359,1.051125668247873,False
service.BenchmarkHandlerGetFlightsQuery,basic-auth,16,0.9986057902434617,0.986127833029891,1.0181237716307425,False
service.BenchmarkHandlerGetFlightSeats,basic-auth,32,1.0037490498787465,0.9792054533943071,1.023419820411154,False
service.BenchmarkHandlerGetDestinations,basic-auth,32,1.0021437661023667,0.9920961352713971,1.0115847046563868,False
service.BenchmarkRequestCreateBooking,basic-auth,32,1.88705609362389,1.8199851839657584,1.9674948670524146,True
service.BenchmarkHandlerGetBookings,basic-auth,32,1.0063235167981355,0.9834937200094396,1.0141258866903253,False
database.BenchmarkRawGet,basic-auth,32,0.9919597989949749,0.9825087456271864,1.0161290322580645,False
database.BenchmarkGetGenerics,basic-auth,32,1.0026820437173125,0.9643564356435643,1.037158469945355,False
service.BenchmarkHandlerGetFlightsQuery,basic-auth,32,0.993804771085749,0.9830180283826352,1.0083373869661816,False
service.BenchmarkRequestDestinations,basic-auth,32,0.9985651671320108,0.9896751367666381,1.0085334418455014,False
service.BenchmarkRequestSeats,basic-auth,32,0.9929663488429082,0.9679519994285646,1.0131772673733803,False
database.BenchmarkPut,basic-auth,32,0.9982579661755099,0.9769031515325947,1.0363593698693851,False
service.BenchmarkRequestFlightsQuery,basic-auth,32,0.9978908317525199,0.9897112079766364,1.0081193549692677,False
service.BenchmarkHandlerCreateBooking,basic-auth,32,0.9913332069030912,0.9579961290865288,1.0201640726826648,False
database.BenchmarkValues,basic-auth,32,1.0001944096127222,0.9916237528721004,1.0078419937038292,False
service.BenchmarkRequestFlights,basic-auth,32,0.9843412779909564,0.9568729188322558,1.0090293412423166,False
service.BenchmarkRequestFlight,basic-auth,32,0.9905207723815097,0.970952698473136,1.0098880152489875,False
service.BenchmarkRequestBookings,basic-auth,32,1.1022413721794515,1.0644533692393148,1.1430486885108524,True
database.BenchmarkGet,basic-auth,32,0.991761636688178,0.9581810799837597,1.0302690582959642,False
service.BenchmarkHandlerGetFlights,basic-auth,32,1.0001936727370524,0.950609421801455,1.0290278653934002,False
service.BenchmarkHandlerGetFlight,basic-auth,32,0.9730718954248366,0.9402491736587846,1.0556894243641233,False
database.BenchmarkValuesGenerics,basic-auth,32,1.00404234551733,0.9918995293194478,1.0191251471670062,False
database.BenchmarkRawValues,basic-auth,32,1.0013992137882644,0.9949112817614052,1.0086585237618229,False
database.BenchmarkRawGet,basic-auth,64,0.9964841788046207,0.9791148682247639,1.0177304964539007,False
service.BenchmarkRequestFlights,basic-auth,64,1.0052340568235087,0.9837741030512939,1.0227508859134995,False
service.BenchmarkHandlerGetFlightsQuery,basic-auth,64,0.9966172929757706,0.9849789374428443,1.0110622490433787,False
service.BenchmarkHandlerGetDestinations,basic-auth,64,0.9996919064728536,0.984591554078112,1.0070031901683034,False
service.BenchmarkRequestFlightsQuery,basic-auth,64,0.9974251808220365,0.9835768331010982,1.0103372363409966,False
service.BenchmarkHandlerCreateBooking,basic-auth,64,0.9984145259621373,0.9705635770843037,1.034292653777204,False
service.BenchmarkRequestCreateBooking,basic-auth,64,2.700798972990321,2.6256795492735,2.772540254990603,True
service.BenchmarkHandlerGetFlight,basic-auth,64,1.0060911016949152,0.9502691617533966,1.0591369206180075,False
database.BenchmarkValues,basic-auth,64,1.0016352261167227,0.9966481355101482,1.0098002296451667,False
service.BenchmarkRequestBookings,basic-auth,64,1.1676233415869028,1.1172837648218936,1.2126320294343165,True
database.BenchmarkGetGenerics,basic-auth,64,1.0065627563576702,0.9594532488114106,1.0460245280418905,False
service.BenchmarkRequestFlight,basic-auth,64,0.9943728018757327,0.9814035087719298,1.0117481203007517,False
service.BenchmarkHandlerGetFlights,basic-auth,64,1.004697034476369,0.9071202030078844,1.1311041414862764,False
service.BenchmarkRequestDestinations,basic-auth,64,1.0034277183676628,0.9914761568225519,1.0151414071168166,False
database.BenchmarkValuesGenerics,basic-auth,64,0.9990437725258554,0.9927667441885415,1.0069271695381528,False
database.BenchmarkGet,basic-auth,64,1.0115590639977445,0.9600379301002439,1.0477961255026633,False
database.BenchmarkRawValues,basic-auth,64,1.0004195083860141,0.9953814662111187,1.0057722635672366,False
service.BenchmarkHandlerGetFlightSeats,basic-auth,64,1.0013230067431285,0.9752554607581438,1.0303834578318065,False
service.BenchmarkRequestSeats,basic-auth,64,0.9972765332047987,0.9738312641388535,1.0184857036184904,False
database.BenchmarkPut,basic-auth,64,0.9907555684961422,0.9592838579266532,1.030985925157635,False
service.BenchmarkHandlerGetBookings,basic-auth,64,0.9971385343546291,0.9854565077385907,1.0098934039492964,False
service.BenchmarkHandlerGetFlight,basic-auth,128,0.9944693178825389,0.9443735646848685,1.05,False
database.BenchmarkRawValues,basic-auth,128,1.002570980045357,0.9949875075875516,1.0083161731967942,False
database.BenchmarkRawGet,basic-auth,128,1.0060975609756098,0.990495247623812,1.0267627380339681,False
service.BenchmarkHandlerGetFlights,basic-auth,128,0.9923317152911333,0.913904729672561,1.0291428611097613,False
service.BenchmarkRequestCreateBooking,basic-auth,128,3.8179962521750768,3.750537456325727,3.90223977585363,True
service.BenchmarkRequestDestinations,basic-auth,128,0.9954444546739301,0.9803090529682326,1.0106519196943797,False
database.BenchmarkGet,basic-auth,128,1.003104275433893,0.9613506916192026,1.0432247973837623,False
service.BenchmarkRequestFlights,basic-auth,128,0.9928901953485657,0.9687443438006271,1.0217898304960489,False
database.BenchmarkPut,basic-auth,128,0.9883307243489399,0.9604349351104875,1.0278694536120279,False
service.BenchmarkHandlerCreateBooking,basic-auth,128,1.0183266627089755,0.9702986911287615,1.0457768910134262,False
database.BenchmarkValues,basic-auth,128,1.0000104638502747,0.993565659750076,1.0091678538711844,False
service.BenchmarkRequestBookings,basic-auth,128,1.2881350348458664,1.2515244429079402,1.3372973756399358,True
service.BenchmarkHandlerGetFlightsQuery,basic-auth,128,0.9956927016617374,0.984547059032708,1.0183381946064638,False
service.BenchmarkRequestSeats,basic-auth,128,0.9964269864287673,0.9720078356551977,1.0167539625288333,False
database.BenchmarkValuesGenerics,basic-auth,128,1.003909149899092,0.9967452647635278,1.009424305169724,False
service.BenchmarkHandlerGetBookings,basic-auth,128,0.9967121722164488,0.9885593220338983,1.0083103070144472,False
service.BenchmarkHandlerGetDestinations,basic-auth,128,1.002366851841348,0.9886559228264218,1.0184469051341791,False
database.BenchmarkGetGenerics,basic-auth,128,1.0064242755604156,0.9620687958325213,1.04294731064764,False
service.BenchmarkRequestFlight,basic-auth,128,1.0034507377439317,0.9922839506172841,1.0176695319961795,False
service.BenchmarkHandlerGetFlightSeats,basic-auth,128,1.008757033483113,0.9816560253231063,1.0325016790979824,False
service.BenchmarkRequestFlightsQuery,basic-auth,128,0.997267713902608,0.9829016507826658,1.0161985769883097,False
service.BenchmarkHandlerGetFlights,basic-auth,256,0.996592960883687,0.886366054105533,1.12686898076865,False
database.BenchmarkPut,basic-auth,256,0.9905262378802457,0.9599655617735687,1.04265086054724,False
service.BenchmarkHandlerGetFlight,basic-auth,256,1.0010576414595451,0.9470019124883559,1.0685668190373758,False
service.BenchmarkHandlerGetDestinations,basic-auth,256,0.9995408827542862,0.9900743140367358,1.0127294697800044,False
service.BenchmarkRequestFlights,basic-auth,256,0.9979368257500155,0.9735107911340626,1.0343586838074974,False
service.BenchmarkRequestDestinations,basic-auth,256,0.9991626946343317,0.992253976669444,1.0115483854695007,False
database.BenchmarkGetGenerics,basic-auth,256,0.9929615592853275,0.9544088830829522,1.0393315064520308,False
database.BenchmarkRawGet,basic-auth,256,1.0015120967741937,0.9805194805194806,1.0172852058973056,False
database.BenchmarkRawValues,basic-auth,256,1.0018831140059372,0.9954301483270093,1.0052983546821719,False
service.BenchmarkHandlerCreateBooking,basic-auth,256,1.0109115230269443,0.9706019337891462,1.0449275362318842,False
service.BenchmarkHandlerGetFlightsQuery,basic-auth,256,0.992975180493454,0.9843796452603572,1.009014836241639,False
database.BenchmarkValuesGenerics,basic-auth,256,0.9967292302450526,0.9920288797426704,1.0041335020020714,False
service.BenchmarkRequestSeats,basic-auth,256,1.004131681294752,0.9828795116053588,1.0317023659460316,False
service.BenchmarkRequestBookings,basic-auth,256,1.4423404373629578,1.3925135825793125,1.4706374445441064,True
service.BenchmarkRequestFlightsQuery,basic-auth,256,0.9977870162315735,0.9880610001639906,1.0107881190775974,False
database.BenchmarkGet,basic-auth,256,0.9980320494798988,0.9524503227333825,1.045519001701645,False
